,rank,name,season
292,53,Devin Vassell,2023-24
293,54,CJ McCollum,2023-24
294,55,Myles Turner,2023-24
295,56,Austin Reaves,2023-24
296,57,Brandon Miller,2023-24
297,58,Lauri Markkanen,2023-24
298,59,Jarrett Allen,2023-24
299,60,Fred VanVleet,2023-24
300,1,Shai Gilgeous-Alexander,2024-25
301,2,Anthony Edwards,2024-25
302,3,Nikola JokiÄ,2024-25
303,4,Giannis Antetokounmpo,2024-25
304,5,Jayson Tatum,2024-25
305,6,Devin Booker,2024-25
306,7,Trae Young,2024-25
307,8,Tyler Herro,2024-25
308,9,Cade Cunningham,2024-25
309,10,James Harden,2024-25
310,11,Karl-Anthony Towns,2024-25
311,12,Zach LaVine,2024-25
312,13,Jalen Green,2024-25
313,14,Stephen Curry,2024-25
314,15,DeMar DeRozan,2024-25
315,16,LeBron James,2024-25
316,17,Donovan Mitchell,2024-25
317,18,Jalen Brunson,2024-25
318,19,Kevin Durant,2024-25
319,20,Jaren Jackson Jr.,2024-25
320,21,Pascal Siakam,2024-25
321,22,Darius Garland,2024-25
322,23,Coby White,2024-25
323,24,Jalen Williams,2024-25
324,25,Austin Reaves,2024-25
325,26,De'Aaron Fox,2024-25
326,27,Alperen ÅengÃ¼n,2024-25
327,28,Franz Wagner,2024-25
328,29,Damian Lillard,2024-25
329,30,Mikal Bridges,2024-25
330,31,Jamal Murray,2024-25
331,32,Bam Adebayo,2024-25
332,33,Luka DonÄiÄ,2024-25
333,34,Jaylen Brown,2024-25
334,35,Michael Porter Jr.,2024-25
335,36,Jordan Poole,2024-25
336,37,Tyrese Maxey,2024-25
337,38,Tyrese Haliburton,2024-25
338,39,Nikola VuÄeviÄ,2024-25
339,40,Anfernee Simons,2024-25
340,41,Ivica Zubac,2024-25
341,42,Domantas Sabonis,2024-25
342,43,Malik Beasley,2024-25
343,44,Shaedon Sharpe,2024-25
344,45,OG Anunoby,2024-25
345,46,Desmond Bane,2024-25
346,47,Evan Mobley,2024-25
347,48,Norman Powell,2024-25
348,49,Miles Bridges,2024-25
349,50,Julius Randle,2024-25
350,51,Anthony Davis,2024-25
351,52,Scottie Barnes,2024-25
352,53,Derrick White,2024-25
353,54,Kyrie Irving,2024-25
354,55,RJ Barrett,2024-25
355,56,Deni Avdija,2024-25
356,57,Christian Braun,2024-25
357,58,Paolo Banchero,2024-25
358,59,Stephon Castle,2024-25
359,60,LaMelo Ball,2024-25
